"segmento";"nome";"id";"pregao";"site";"ticker";"ano";"ativo";"pl";"rec_liq";"lucro_bruto";"lucro_liq";"EBIT";"deprec_amort";"EBITDA";"margem_liq";"div_curto_prazo";"div_longo_prazo";"caixa";"div_liq";"div_total";"size";"leverage";"EBIT.rate";"ROA";"ROE";"GAO";"main.sector";"sector.activity";"sub.sector";"listagem";"ibovespa"
"água e Saneamento";"CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN";16861;"CASAN";"www.casan.com.br";"CASN3;CASN4";2013;2328908;1220276;659952;409749;41584;103309;0;103309;6,3;94849;235294;120673;2,03;330143;14,6609100461541;0,14;0,16;0,04;0,03;0,25;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Tradicional";FALSE
"água e Saneamento";"CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN";16861;"CASAN";"www.casan.com.br";"CASN3;CASN4";2014;2408156;1278376;744696;461731;74734;198873;0;198873;10,04;40503;449133;130318;1,81;489636;14,6943718673656;0,2;0,27;0,08;0,06;0,43;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Tradicional";FALSE
"água e Saneamento";"CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN";16861;"CASAN";"www.casan.com.br";"CASN3;CASN4";2015;2668241;1278823;796925;409814;10936;106471;0;106471;1,37;38427;719946;156797;5,65;758373;14,7969300117732;0,28;0,13;0,04;0,01;0,26;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Tradicional";FALSE
"água e Saneamento";"CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN";16861;"CASAN";"www.casan.com.br";"CASN3;CASN4";2016;2898526;1339061;917429;504987;28374;161463;0;161463;3,09;41103;897973;93695;5,24;939076;14,8797128898787;0,32;0,18;0,06;0,02;0,32;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Tradicional";FALSE
"água e Saneamento";"CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN";16861;"CASAN";"www.casan.com.br";"CASN3;CASN4";2017;3226243;1306667;1020802;571031;0;35328;0;35328;0;187551;974710;201227;27,2;1162261;14,9868288603109;0,36;0,03;0,01;0;0,06;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Tradicional";FALSE
"água e Saneamento";"CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN";16861;"CASAN";"www.casan.com.br";"CASN3;CASN4";2018;3326896;1246082;1085552;605494;0;0;0;0;0;275841;883039;87815;Inf;1158880;15,0175502951192;0,35;0;0;0;0;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Tradicional";FALSE
"água e Saneamento";"CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN";16861;"CASAN";"www.casan.com.br";"CASN3;CASN4";2019;3559018;1257038;1124024;619093;119686;271269;0;271269;10,65;142935;1154350;195522;4,06;1297285;15,08499522208;0,36;0,24;0,08;0,1;0,44;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Tradicional";FALSE
"água e Saneamento";"CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN";16861;"CASAN";"www.casan.com.br";"CASN3;CASN4";2020;3767464;1324157;1143679;581555;112504;277228;102554;379782;9,84;266469;1205624;132694;3,53;1472093;15,141912654029;0,39;0,24;0,1;0,08;0,48;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Tradicional";FALSE
"água e Saneamento";"CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO";14443;"SABESP";"www.sabesp.com.br";"SBSP3";2012;26675793;11715577;10754435;4289037;1911900;2845260;740147;3585407;17,78;1367391;7701929;1921178;1,99;9069320;17,0992670829202;0,34;0,26;0,13;0,16;0,66;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Novo Mercado";TRUE
"água e Saneamento";"CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO";14443;"SABESP";"www.sabesp.com.br";"SBSP3";2013;28274294;12930801;11315567;4499304;1923559;3138845;871073;4009918;17;640940;8809134;1782001;1,91;9450074;17,1574636106008;0,33;0,28;0,14;0,15;0,7;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Novo Mercado";TRUE
"água e Saneamento";"CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO";14443;"SABESP";"www.sabesp.com.br";"SBSP3";2014;30355440;13304403;11213216;3577617;902983;1910709;1004471;2915180;8,05;1207126;9578641;1722991;3,11;10785767;17,2284863015824;0,36;0,17;0,1;0,07;0,53;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Novo Mercado";TRUE
"água e Saneamento";"CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO";14443;"SABESP";"www.sabesp.com.br";"SBSP3";2015;33706614;13716606;11711569;3450806;536279;3043991;1074032;4118023;4,58;1526262;11595338;1639214;2,79;13121600;17,3332046371935;0,39;0,26;0,12;0,04;0,88;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Novo Mercado";TRUE
"água e Saneamento";"CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO";14443;"SABESP";"www.sabesp.com.br";"SBSP3";2016;36745034;15419211;14098208;5085088;2947098;3429607;1146626;4576233;20,9;1246567;10717576;1886221;2,2;11964143;17,4195136452406;0,33;0,24;0,12;0,19;0,67;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Novo Mercado";TRUE
"água e Saneamento";"CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO";14443;"SABESP";"www.sabesp.com.br";"SBSP3";2017;39546444;17513009;14608233;5829270;2519310;3961668;1301897;5263565;17,25;1746755;10354211;2283047;1,87;12100966;17,4929863366312;0,31;0,27;0,13;0,14;0,68;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Novo Mercado";TRUE
"água e Saneamento";"CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO";14443;"SABESP";"www.sabesp.com.br";"SBSP3";2018;43565118;19551688;16085094;6998638;2835068;5176655;1392541;6569196;17,63;2103612;11049184;3029191;1,54;13152796;17,5897673422402;0,3;0,32;0,15;0,15;0,74;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Novo Mercado";TRUE
"água e Saneamento";"CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO";14443;"SABESP";"www.sabesp.com.br";"SBSP3";2019;46457800;21635783;17983654;7846017;3367517;5711623;1780094;7491717;18,73;2859843;10384866;2253210;1,47;13244709;17,654054931624;0,29;0,32;0,16;0,16;0,73;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Novo Mercado";TRUE
"água e Saneamento";"CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO";14443;"SABESP";"www.sabesp.com.br";"SBSP3";2020;50418636;22793704;17797541;6617874;973318;4492373;2037112;6529485;5,47;3034449;14224175;3807547;2,06;17258624;17,7358714266013;0,34;0,25;0,13;0,04;0,68;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Novo Mercado";TRUE
"água e Saneamento";"CIA. DE SANEAMENTO DO PARANÁ - SANEPAR";18627;"SANEPAR";"www.sanepar.com.br";"SAPR11;SAPR3;SAPR4";2012;6171769;2428830;2123395;1304520;335756;571976;148636;720612;15,81;130116;830363;219175;1,03;960479;15,6354960646747;0,16;0,27;0,12;0,14;0,44;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Corporate Governance - Level 2";FALSE
"água e Saneamento";"CIA. DE SANEAMENTO DO PARANÁ - SANEPAR";18627;"SANEPAR";"www.sanepar.com.br";"SAPR11;SAPR3;SAPR4";2013;6748027;3566842;2370179;1428964;402904;642541;160277;802818;17;112310;1353510;146782;1,64;1465820;15,7247607238255;0,22;0,27;0,12;0,11;0,45;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Corporate Governance - Level 2";FALSE
"água e Saneamento";"CIA. DE SANEAMENTO DO PARANÁ - SANEPAR";18627;"SANEPAR";"www.sanepar.com.br";"SAPR11;SAPR3;SAPR4";2014;7551739;3801085;2617040;1501916;421586;660762;175017;835779;16,11;244334;1628159;69061;2,16;1872493;15,8372884258289;0,25;0,25;0,11;0,11;0,44;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Corporate Governance - Level 2";FALSE
"água e Saneamento";"CIA. DE SANEAMENTO DO PARANÁ - SANEPAR";18627;"SANEPAR";"www.sanepar.com.br";"SAPR11;SAPR3;SAPR4";2015;8244675;4180307;2971185;1626023;438444;699788;194194;893982;14,76;230660;2105348;163797;2,43;2336008;15,9250780953699;0,28;0,24;0,11;0,1;0,43;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Corporate Governance - Level 2";FALSE
